batter_id,batter_trackman_id,votes,total_votes,purity
22281,61114,216,216,1.0
22283,61102,5122,5122,1.0
22287,61186,3159,3159,1.0
22288,61197,1145,1145,1.0
22315,61404,3175,3175,1.0
22322,61360,20,20,1.0
22323,61353,2684,2684,1.0
22332,61700,1003,1003,1.0
22333,61743,600,600,1.0
22344,61204,372,372,1.0
22345,61208,1310,1310,1.0
22353,61566,660,660,1.0
22374,62164,322,322,1.0
22379,62700,2808,2808,1.0
22382,62797,433,433,1.0
22392,62353,405,405,1.0
22394,62356,930,930,1.0
22396,62332,352,352,1.0
22410,62404,5699,5699,1.0
22416,62468,37,37,1.0
22420,62556,2134,2134,1.0
22424,62558,2419,2419,1.0
22429,62234,2596,2596,1.0
22430,62244,4279,4279,1.0
22432,62265,1097,1097,1.0
22436,62864,2077,2077,1.0
22439,62893,53,53,1.0
22442,62884,1068,1068,1.0
22443,62895,4703,4703,1.0
22454,76368,96,96,1.0
22455,78288,4855,4865,0.9979445015416238
22460,77654,94,94,1.0
22468,63123,3007,3007,1.0
22500,78168,4741,4741,1.0
22502,78361,926,932,0.9935622317596566
22514,79290,365,365,1.0
22521,63202,1274,1274,1.0
22522,63257,2172,2172,1.0
22523,63260,1168,1168,1.0
22542,63722,1387,1387,1.0
22553,63634,286,286,1.0
22571,62409,403,403,1.0
22574,63435,163,163,1.0
22576,63450,625,625,1.0
22605,62931,4514,4514,1.0
22606,62907,5101,5101,1.0
22607,62925,2531,2531,1.0
22610,62947,3645,3645,1.0
22611,62921,31,31,1.0
22612,62934,1887,1889,0.9989412387506618
22613,62917,287,287,1.0
22626,60566,1119,1119,1.0
22628,63905,1180,1180,1.0
22629,63903,108,108,1.0
22632,63963,4431,4431,1.0
22660,62415,6798,6798,1.0
22664,64610,1887,1887,1.0
22671,64300,2804,2804,1.0
22674,63920,2073,2073,1.0
22679,64499,158,158,1.0
22682,61554,823,823,1.0
22683,61366,44,44,1.0
22684,64706,43,43,1.0
22690,64560,2152,2152,1.0
22693,64153,4113,4113,1.0
22695,65132,1355,1355,1.0
22696,65136,476,476,1.0
22697,65115,457,457,1.0
22709,64717,1098,1098,1.0
22716,64944,453,453,1.0
22719,64346,1709,1709,1.0
22725,64006,4234,4234,1.0
22727,64004,3911,3911,1.0
22728,64012,617,617,1.0
22732,64007,1650,1650,1.0
22733,63088,99,99,1.0
22736,65357,3172,3172,1.0
22737,64117,225,225,1.0
22739,64504,2387,2387,1.0
22745,63448,103,103,1.0
22748,64086,433,433,1.0
22749,65653,698,698,1.0
22756,64468,2858,2858,1.0
22758,64493,76,76,1.0
22762,79364,55,55,1.0
22763,62908,345,345,1.0
22766,64890,222,222,1.0
22767,64895,36,36,1.0
22768,63704,3268,3268,1.0
22771,64115,964,964,1.0
22773,65120,160,160,1.0
22774,63360,169,169,1.0
22775,65399,1072,1072,1.0
22777,65040,260,260,1.0
22779,64166,4886,4886,1.0
22781,65506,748,748,1.0
22800,64164,323,323,1.0
22807,65157,487,488,0.9979508196721312
22808,64101,1412,1412,1.0
22809,66112,393,393,1.0
22811,66113,951,951,1.0
22813,66109,211,211,1.0
22816,66108,6286,6286,1.0
22817,64100,219,219,1.0
22819,66162,661,661,1.0
22822,64260,358,358,1.0
22830,66203,229,229,1.0
22831,65207,1483,1483,1.0
22839,66209,1274,1274,1.0
22841,64213,348,348,1.0
22852,65304,158,158,1.0
22853,65898,1653,1653,1.0
22872,65362,475,475,1.0
22882,64340,1069,1069,1.0
22886,66354,298,298,1.0
22893,65514,217,217,1.0
22900,65503,235,235,1.0
22902,66508,114,114,1.0
22928,66614,618,618,1.0
22934,66615,241,241,1.0
22943,66662,281,281,1.0
22950,66657,1805,1805,1.0
22956,66606,2264,2264,1.0
22959,66710,171,171,1.0
22963,66715,2025,2025,1.0
22969,66707,840,840,1.0
22970,65705,33,33,1.0
22985,65703,1170,1170,1.0
22986,66702,524,527,0.9943074003795066
22995,66716,21,21,1.0
23000,65412,38,38,1.0
23001,65462,648,648,1.0
23004,66462,202,202,1.0
23022,66409,1271,1271,1.0
23028,63913,133,133,1.0
23034,64906,592,592,1.0
23040,64984,2768,2768,1.0
23045,74465,3086,3086,1.0
23049,65909,51,51,1.0
23064,65905,292,292,1.0
23068,65044,30,30,1.0
23080,74339,2759,2759,1.0
23089,66838,2514,2514,1.0
23108,65869,514,514,1.0
23113,64868,4321,4321,1.0
23116,65464,257,257,1.0
23121,64724,56,56,1.0
23132,66749,43,43,1.0
23134,66704,2060,2060,1.0
23138,66803,36,36,1.0
23143,66864,540,540,1.0
23144,66833,137,137,1.0
23146,63895,108,108,1.0
23147,66807,85,85,1.0
23153,578268,434,434,1.0
23179,65269,509,509,1.0
23180,66202,41,41,1.0
23186,66233,205,205,1.0
23188,64022,1347,1347,1.0
23193,66917,974,974,1.0
23195,66965,1398,1398,1.0
23197,66928,1732,1732,1.0
23200,66968,69,69,1.0
23205,66963,53,53,1.0
23212,66802,49,49,1.0
23227,67169,167,167,1.0
23234,67123,277,278,0.9964028776978417
23241,67202,144,144,1.0
23242,67265,110,110,1.0
23243,67207,1083,1083,1.0
23244,64266,1420,1420,1.0
23253,64209,115,115,1.0
23262,67944,53,53,1.0
23263,67993,44,44,1.0
23264,67900,146,146,1.0
23274,67905,503,503,1.0
23281,67304,5880,5880,1.0
23282,67341,6026,6026,1.0
23290,67363,209,209,1.0
23298,67644,726,726,1.0
23299,63636,61,61,1.0
23300,67610,194,194,1.0
23318,62802,2126,2126,1.0
23319,67893,3384,3384,1.0
23321,61869,915,915,1.0
23330,67807,314,314,1.0
23341,67760,82,82,1.0
23347,67539,469,469,1.0
23349,67504,986,986,1.0
23357,67568,32,32,1.0
23367,67449,679,679,1.0
23387,65096,24,24,1.0
23395,67063,39,39,1.0
23396,67006,415,415,1.0
23404,573131,1469,1469,1.0
23405,66406,292,292,1.0
23407,67005,546,548,0.9963503649635036
23408,62025,1075,1075,1.0
23410,457449,3772,3772,1.0
23413,592692,2708,2708,1.0
23418,65109,531,531,1.0
23420,76290,6937,6937,1.0
23425,68100,561,561,1.0
23427,68106,2053,2053,1.0
23430,68110,718,718,1.0
23432,68117,60,60,1.0
23433,68119,2497,2497,1.0
23435,68302,27,27,1.0
23436,68330,440,440,1.0
23442,68346,928,928,1.0
23443,75125,5399,5399,1.0
23444,68362,759,759,1.0
23452,68305,460,460,1.0
23463,68518,1090,1090,1.0
23464,65586,2064,2064,1.0
23465,68525,4376,4376,1.0
23466,68504,1055,1055,1.0
23467,63593,142,142,1.0
23469,63558,71,71,1.0
23470,68507,162,162,1.0
23471,76313,5828,5828,1.0
23472,64014,488,488,1.0
23474,64011,273,273,1.0
23476,68050,5005,5005,1.0
23483,68089,57,57,1.0
23487,68096,34,34,1.0
23492,68002,41,41,1.0
23493,68003,36,36,1.0
23505,68646,171,171,1.0
23507,68614,94,94,1.0
23508,64657,1515,1515,1.0
23521,60288,387,387,1.0
23524,64410,219,219,1.0
23525,64407,1096,1096,1.0
23526,68463,192,192,1.0
23527,68416,32,32,1.0
23529,64469,464,464,1.0
23531,68466,190,190,1.0
23546,68869,69,69,1.0
23548,64803,20,20,1.0
23549,68868,922,922,1.0
23551,68805,214,214,1.0
23552,68205,233,233,1.0
23553,79530,264,264,1.0
23562,63559,255,255,1.0
23578,68743,6260,6260,1.0
23579,68707,143,143,1.0
23583,66706,1660,1660,1.0
23584,68700,809,809,1.0
23586,68709,64,64,1.0
23602,68912,662,662,1.0
23604,62537,22,22,1.0
23605,68906,85,85,1.0
23606,68904,1196,1196,1.0
23608,68909,115,115,1.0
23612,68901,40,40,1.0
23625,543742,1474,1474,1.0
23626,63440,718,718,1.0
23635,571830,528,528,1.0
23639,69102,3625,3625,1.0
23641,69105,321,322,0.9968944099378882
23645,69100,753,753,1.0
23646,64646,3651,3651,1.0
23649,571757,59,59,1.0
23662,69636,288,288,1.0
23664,65610,1575,1575,1.0
23669,65515,757,757,1.0
23670,64501,509,509,1.0
23671,69530,493,493,1.0
23681,69508,643,643,1.0
23685,69517,1381,1381,1.0
23686,69518,36,36,1.0
23687,628336,5113,5113,1.0
23688,63700,1204,1204,1.0
23691,69727,520,520,1.0
23693,69737,4821,4821,1.0
23698,69766,847,847,1.0
23700,63703,157,157,1.0
23701,64704,525,525,1.0
23702,69702,226,226,1.0
23705,69705,566,566,1.0
23706,69706,461,461,1.0
23712,69403,44,44,1.0
23715,69428,143,143,1.0
23718,69442,614,615,0.9983739837398374
23720,69453,2681,2681,1.0
23723,69416,208,208,1.0
23724,69418,828,828,1.0
23726,68407,312,312,1.0
23728,68211,44,44,1.0
23733,69203,381,381,1.0
23734,68204,273,273,1.0
23735,69238,590,590,1.0
23739,69207,214,214,1.0
23742,69210,91,91,1.0
23750,69332,192,192,1.0
23752,69366,62,62,1.0
23757,69306,672,672,1.0
23759,69813,762,762,1.0
23760,69825,526,526,1.0
23763,69860,47,47,1.0
23768,69950,526,526,1.0
23773,69980,21,21,1.0
23776,69992,869,869,1.0
23778,69995,1607,1607,1.0
23780,69900,121,121,1.0
23788,69056,45,45,1.0
23789,69064,53,53,1.0
23791,69055,22,22,1.0
23835,69802,242,242,1.0
23836,69809,32,32,1.0
23837,69805,24,24,1.0
23838,69810,43,43,1.0
23839,69804,122,122,1.0
23840,69652,2209,2209,1.0
23841,607111,523,523,1.0
23842,519295,486,486,1.0
23844,451713,477,477,1.0
23847,607776,467,467,1.0
23854,50167,1161,1161,1.0
23855,50150,965,965,1.0
23859,50108,541,541,1.0
23861,50110,34,34,1.0
23865,657733,1695,1695,1.0
23875,50458,2951,2956,0.9983085250338295
23881,573135,514,514,1.0
23882,553988,2391,2391,1.0
23890,50507,39,39,1.0
23896,50500,1175,1175,1.0
23899,50840,70,70,1.0
23900,50848,160,160,1.0
23901,50854,4175,4175,1.0
23905,50819,88,88,1.0
23906,50868,120,120,1.0
23911,50820,946,946,1.0
23913,50817,32,32,1.0
23918,50657,134,134,1.0
23919,50600,222,222,1.0
23937,50713,33,33,1.0
23938,50704,716,716,1.0
23939,50707,1132,1132,1.0
23940,50709,1037,1037,1.0
23945,50204,210,210,1.0
23948,50202,1637,1637,1.0
23949,50293,724,724,1.0
23957,50208,154,154,1.0
23961,571437,2340,2340,1.0
23970,50902,310,310,1.0
23974,50906,59,59,1.0
23975,50304,115,115,1.0
23976,50312,250,250,1.0
23978,50357,530,530,1.0
23980,578628,89,89,1.0
23983,50394,26,26,1.0
23986,600301,39,39,1.0
23989,50066,422,422,1.0
23990,50054,265,265,1.0
23992,50092,74,74,1.0
23996,50007,77,77,1.0
24000,50011,54,54,1.0
24005,488681,706,706,1.0
24006,50214,104,104,1.0
24007,608365,1110,1110,1.0
24008,594953,567,567,1.0
24009,643603,89,89,1.0
24010,51100,810,810,1.0
24014,51103,65,65,1.0
24016,51106,141,141,1.0
24019,51112,108,108,1.0
24022,51003,332,332,1.0
24023,501660,468,468,1.0
24024,51013,58,58,1.0
24031,51005,52,52,1.0
24034,51009,75,75,1.0
24035,51006,38,38,1.0
24040,51551,328,328,1.0
24041,51528,227,227,1.0
24046,51560,33,33,1.0
24049,51574,23,23,1.0
24050,51868,129,129,1.0
24054,51865,422,422,1.0
24066,51466,24,24,1.0
24068,51403,294,294,1.0
24072,51417,1756,1756,1.0
24074,517369,3644,3644,1.0
24075,51907,2482,2482,1.0
24077,51991,54,54,1.0
24079,51996,37,37,1.0
24087,51344,2404,2404,1.0
24090,51302,291,291,1.0
24091,51303,249,249,1.0
24093,51305,27,27,1.0
24095,51307,31,31,1.0
24098,51203,1235,1235,1.0
24101,51269,34,34,1.0
24103,51295,55,55,1.0
24106,51298,81,81,1.0
24114,51205,22,22,1.0
24119,51640,21,21,1.0
24128,51764,149,149,1.0
24130,51767,49,49,1.0
24132,51762,53,53,1.0
24134,51701,62,62,1.0
24137,51704,70,70,1.0
24139,592387,469,469,1.0
24143,571679,284,284,1.0
24144,425783,3090,3090,1.0
24145,51706,192,192,1.0
24148,571506,412,412,1.0
24149,643269,466,466,1.0
24150,541650,593,593,1.0
24155,52154,36,36,1.0
24158,52103,89,89,1.0
24159,52105,140,140,1.0
24160,52121,72,72,1.0
24163,547004,211,211,1.0
24175,52804,39,39,1.0
24177,605196,364,364,1.0
24180,52348,717,717,1.0
24187,52301,33,33,1.0
24191,52305,144,144,1.0
24194,624577,1073,1073,1.0
24207,605361,1254,1254,1.0
24210,52516,101,101,1.0
24212,52591,1043,1043,1.0
24214,52568,102,102,1.0
24215,52504,36,36,1.0
24219,52514,20,20,1.0
24221,656847,512,512,1.0
24242,52764,25,25,1.0
24245,666247,366,366,1.0
24251,643565,1173,1173,1.0
24255,52001,51,51,1.0
24263,592656,114,114,1.0
24264,52605,766,766,1.0
24270,593647,1347,1347,1.0
24272,52415,1672,1672,1.0
24273,52430,298,298,1.0
24274,52424,85,85,1.0
24278,52405,80,80,1.0
24280,52402,88,88,1.0
24287,52628,35,35,1.0
24296,52704,63,63,1.0
24297,52705,146,146,1.0
24301,546990,2127,2127,1.0
24304,596825,462,462,1.0
24308,501571,339,339,1.0
24309,676646,1094,1094,1.0
24315,53992,56,56,1.0
24326,641829,1531,1531,1.0
24336,53205,25,25,1.0
24341,670351,1151,1151,1.0
24342,53144,213,213,1.0
24345,53160,116,116,1.0
24348,53168,218,218,1.0
24350,53105,147,147,1.0
24352,53104,21,21,1.0
24353,53103,122,122,1.0
24354,621573,1380,1380,1.0
24356,53764,1108,1108,1.0
24357,53795,34,34,1.0
24371,657434,239,239,1.0
24372,53554,1018,1018,1.0
24375,53568,161,161,1.0
24383,53569,86,86,1.0
24385,53587,70,70,1.0
24390,53659,35,35,1.0
24398,53312,67,67,1.0
24400,53344,612,612,1.0
24402,53302,77,77,1.0
24403,53303,59,59,1.0
24404,53304,75,75,1.0
24413,53400,67,67,1.0
24418,53404,113,113,1.0
24426,53058,87,87,1.0
24427,53057,25,25,1.0
24430,53036,54,54,1.0
24439,628338,1211,1211,1.0
24442,53844,38,38,1.0
24443,53865,28,28,1.0
24462,608384,654,654,1.0
24464,592348,507,507,1.0
24466,669008,563,563,1.0
